key	text	tooltip
#Loc;1;text/db/mp_patch_random_localisation_strings__.loc		
random_localisation_strings_string_tooltip_kills_ff	[[img:ui/battle ui/ability_icons/wh_dlc07_unit_passive_icon_of_devotion.png]][[/img]]Friendly Fire Kills: %d\\n	false
random_localisation_strings_string_tooltip_unit_stat_ui	\\n\\nVanilla UI Base Value: [[col:yellow]]%d[[/col]]\\nVanilla UI Display Value: [[col:yellow]]%d[[/col]]	false
random_localisation_strings_string_tooltip_unit_stat_melee_dmg_bonus	\\n[[img:ui/mod/icons/modifier_icon_bonus_vs_%s.png]][[/img]][[img:ui/mod/icons/icon_stat_damage_base.png]][[/img]]%d[[img:ui/mod/icons/icon_stat_melee_damage_ap.png]][[/img]]%d ([[col:yellow]]%d[[/col]])	false
random_localisation_strings_string_tooltip_unit_stat_range_dmg_bonus	\\n[[img:ui/mod/icons/modifier_icon_bonus_vs_%s.png]][[/img]][[img:ui/mod/icons/icon_stat_ranged_damage_base.png]][[/img]]%d[[img:ui/mod/icons/modifier_icon_armour_piercing_ranged.png]][[/img]]%d%s%s ([[col:yellow]]%d[[/col]])	false
random_localisation_strings_string_tooltip_unit_stat_ap_ratio	\\nAP Ratio: [[col:yellow]]%f[[/col]]	false
random_localisation_strings_string_tooltip_unit_stat_dmg_per_hit	\\n\\nMod Total Damage per hit: [[col:yellow]]%d[[/col]]	false
random_localisation_strings_string_tooltip_unit_stat_dmg_per_shot	\\n\\nMod Total Damage per shot: [[col:yellow]]%d[[/col]]	false
random_localisation_strings_string_tooltip_unit_stat_armour	\\n\\nBlocks a random % in range [0.5*armour, armour] (max 100%) of incoming:\\n[[img:ui/skins/default/icon_stat_damage_base.png]][[/img]] Base Weapon Damage\\n[[img:ui/skins/default/icon_stat_ranged_damage_base.png]][[/img]] Base Missile Damage\\n[[img:ui/skins/default/icon_explosive_damage.png]][[/img]] Base Explosive Damage\\nMod shows the [[col:yellow]]average[[/col]] reduction from armour.	false
random_localisation_strings_string_tooltip_unit_stat_melee_defence	\\n\\n[[img:ui/mod/icons/icon_stat_defence_rear.png]][[/img]]Melee defence from rear: [[col:red]]-%d%%[[/col]]\\n[[img:ui/mod/icons/icon_stat_defence_flank.png]][[/img]]Melee Defence from flanks: [[col:red]]-%d%%[[/col]]	false
random_localisation_strings_string_tooltip_unit_stat_melee_attack_splash	\\n[[img:ui/battle ui/ability_icons/wh2_dlc10_lord_passive_blood_frenzy.png]][[/img]]Splash Attack:\\nTarget Size: [[col:yellow]]%s[[/col]]\\nMax Targets: [[col:yellow]]%d[[/col]] 	false
random_localisation_strings_string_tooltip_unit_stat_melee_attack_collision	\\n[[img:ui/battle ui/ability_icons/wh_dlc03_unit_passive_primal_fury.png]][[/img]]Collision Attack:\\nMax Targets: [[col:yellow]]%d[[/col]]\\nRefreshes/Cooldown: [[col:yellow]]%d[[/col]]	false
random_localisation_strings_string_tooltip_unit_stat_melee_attack	\\n\\nWeapon Length: [[col:yellow]]%f[[/col]]\\n%S%S	false
random_localisation_strings_string_LF	\\n	false
random_localisation_strings_string_chinese_colon	：	false
random_localisation_strings_string_chinese_shield_prefix	有	false
random_localisation_strings_string_clan_vm	[[col:yellow]]Via Militera[[/col]] - largest Russian-speaking TW clan. \\n[[col:magic]]discord.com/invite/ANG9sR8Vpm[[/col]]	false
random_localisation_strings_string_clan_cb	[[col:yellow]]Crying Beastmen[[/col]] - Russian-speaking TW clan. \\n[[col:magic]]discord.gg/S8WJU5k2wz[[/col]]	false
random_localisation_strings_string_player_roflanbuldiga	Roflan: - No.\\nBuldiga: - Okay, fine.\\n Has his own youtube channel oriented for audience of all ages and languages.\\n[[col:magic]]youtube.com/@RoflanBuldiga[[/col]]	false
random_localisation_strings_string_player_lord_leaver	It is Wednesday, my dudes	false
random_localisation_strings_string_player_berrserk	The winner of TWWH Russian Championship 2023 in both domination and land battles. \\nBERRSERK has his own youtube channel oriented for russian-speaking audience.\\n[[col:magic]]youtube.com/@TotalWarriorsteam[[/col]]	false
random_localisation_strings_string_player_voins	A dwarf in disguise	false
random_localisation_strings_string_player_gapaktus	Where is RoR Tank, mr. GapaKtus ?!?!?!	false
random_localisation_strings_string_player_komerdinner	The dude who has his own YouTube channel about multiplayer battles in TWW. He wholeheartedly prefers LAND BATTLES!\\n[[col:magic]]youtube.com/@komerdinner12[[/col]]\\n[[col:magic]]discord.gg/8mkcEUGRSh[[/col]] 	false
random_localisation_strings_string_player_crabling	The leader of VM clan. Many-time Russian Championship winner. Has his channel dedicated to multiplayer battles.\\n[[col:magic]]youtube.com/@crabling[[/col]]	false
random_localisation_strings_string_player_risum	Russian streamer and caster oriented to Warhammer multiplayer battles. Member of the Quantum Hut.\\n[[col:magic]]youtube.com/@RisumTV[[/col]]\\n[[col:magic]]twitch.tv/risumtv[[/col]]\\n[[col:magic]]discord.gg/RacdztC[[/col]]	false
random_localisation_strings_string_player_akkeinn	Russian player. Play for fun and then all matches will be good.	false
random_localisation_strings_string_player_exul_et_ignotus	Average turvin enjoyer	false
random_localisation_strings_string_player_lunacy	Snegovichok	false
random_localisation_strings_string_player_placeholder	PLACEHOLDER	false
